event_id,m_gg
2598,129.6639190344607
2599,126.37441508791824
2605,126.2422123762643
2607,127.231307151805
2612,125.32993568789087
2621,126.73671641827032
2624,123.73274923674863
2627,121.70596664357558
2628,131.70478000130248
2630,124.36924089703997
2638,125.10133398607547
2641,119.58295973448023
2642,127.32829400869495
2645,125.38324280784408
2646,124.00943122705722
2647,128.99200622692427
2648,123.37364826243693
2663,124.8685085025521
2666,122.80457772254447
2668,124.47216360240269
2672,126.92111292177876
2673,125.72981117410988
2676,131.66299289736764
2677,124.13241422849964
2690,123.54560749324483
2705,125.04417849430102
2712,122.96999480815076
2720,127.77929327548154
2730,124.06654939496575
2732,131.41398091226137
2733,122.69566578154455
2734,123.9914591629098
2736,125.96580720405454
2739,125.42045682930362
2742,127.5892238847087
2748,121.4937816416846
2753,124.50300778502644
2755,132.65320921652986
2757,119.4906182061023
2781,126.65005356285079
2783,126.04126254889921
2785,126.71338211129877
2792,124.30314860055086
2795,128.19975578971693
2797,126.22824006802507
2801,129.75520520029434
2808,123.93083680287464
2815,123.78319060525638
2817,128.24699457456637
2820,126.43941923882566
2822,122.6311986479774
2828,128.7437808286982
2834,128.43858327899557
2838,122.94327507798187
2843,126.58291159215804
2847,126.67563562551281
2861,123.11461677006639
2864,129.69952513366886
2868,124.14349057024836
2871,123.6521103199363
2874,128.8234528653485
2876,123.29446895139739
2878,130.75788971348908
2879,125.50872776334236
2891,127.01897007514661
2893,120.77013686208572
2895,124.42811520441356
2898,121.2389408676935
2900,123.04827732340864
2904,122.13231872338176
2905,127.25863487170707
2911,129.99828841592446
2912,119.48406228261234
2919,124.19343585602924
2924,134.15281480316293
2936,124.02848288345908
2937,127.46625834966662
2939,125.16429719247691
2946,129.16695083624083
2948,126.01491636088811
2950,127.6485629588887
2966,125.48210631626065
2974,126.91051645506315
2987,127.43407979884441
2988,129.23981271671747
2992,122.8533596062939
2994,128.6119675739231
17502,125.74594432212541
17509,123.02101447237467
17518,128.19281240886983
17521,128.46045389320142
17524,124.61411057785398
17529,124.89465157521062
17530,128.62982420969826
17539,124.76049645538649
17542,126.62754756542581
17543,128.29574074138714
17547,124.59762373941378
17552,128.2133684244914
17553,133.15631502121443
17563,125.44012721021467
17565,218.345556840429
17566,127.98734639833135
17568,123.88521744328469
17573,125.11990154813414
17587,128.6165392604866
17589,123.92827520825354
17591,124.80980872771462
17593,125.87809033181843
17604,126.34284375713777
17609,121.12504301798172
17611,129.5672111130624
17615,126.61926974012798
17617,131.73441441561127
17620,124.04487040676945
17623,120.8899749940056
17627,123.00194786769117
17636,123.45691388171493
17646,123.98336389131802
17649,123.91109567206838
17663,125.00730701277375
17665,123.8667012356486
17667,126.38701636810164
17669,126.14363909419812
17671,126.42688636037214
17672,124.20357649251243
17676,126.9197281778618
17678,127.17034079793781
17679,122.4341767723312
17683,129.82870069811338
17684,125.71509323124499
17685,126.32830247813746
17690,123.36743271101973
17692,126.44589539779992
17701,120.0957785831416
17703,128.03641272938677
17713,128.02581041536445
17717,125.51827494241563
17723,119.63844133961265
17731,125.10151015590958
17732,129.198304177452
17733,122.11908836184885
17747,130.1819260321833
17749,123.78601076037621
17751,120.67507004469384
17754,121.24396306059883
17762,126.87391040599792
17766,125.17343408540577
17770,120.85974797693775
17775,120.06844239407305
17782,127.4087332892593
17786,124.67809791482598
17791,123.23722559296775
17794,128.43472133833367
17798,125.21024755066969
17804,127.6315013654305
17805,122.70687827917273
17807,124.78405297594364
17808,128.32799268178604
17815,126.44336552777212
17818,127.1187631472599
17824,127.51407880715516
17830,126.57936254576259
17831,125.21419752166628
17832,124.65755185026832
17836,128.12519560511063
17843,130.23003524939452
17844,124.32548610166948
17846,124.78121847754996
17847,128.21978139125872
17849,127.13455809228869
17851,127.7494362245698
17862,125.68240794835882
17864,123.82964385329572
17865,126.8290764814103
17866,126.28155098820663
